robot,charge,time,rotate_time,time_one_total,hours,second_for_one,time_one_sec,teoretical_min_time_hours,4,6
1,10,127418,4,127418,35.39388889,25.4836,25.4836,1.847222222,2.777777778,4.625
2,10,66702,4,133404,18.52833333,13.3404,26.6808,1.847222222,2.777777778,4.625
3,10,48085,4,144255,13.35694444,9.617,28.851,1.847222222,2.777777778,4.625
4,10,40502,4,162008,11.25055556,8.1004,32.4016,1.847222222,2.777777778,4.625
5,10,35156,4,175780,9.765555556,7.0312,35.156,1.847222222,2.777777778,4.625
6,10,30523,4,183138,8.478611111,6.1046,36.6276,1.847222222,2.777777778,4.625
7,10,27489,4,192423,7.635833333,5.4978,38.4846,1.847222222,2.777777778,4.625
8,10,24586,4,196688,6.829444444,4.9172,39.3376,1.847222222,2.777777778,4.625
9,10,22249,4,200241,6.180277778,4.4498,40.0482,1.847222222,2.777777778,4.625
10,10,20852,4,208520,5.792222222,4.1704,41.704,1.847222222,2.777777778,4.625
11,10,18832,4,207152,5.231111111,3.7664,41.4304,1.847222222,2.777777778,4.625
12,10,17744,4,212928,4.928888889,3.5488,42.5856,1.847222222,2.777777778,4.625
13,10,16764,4,217932,4.656666667,3.3528,43.5864,1.847222222,2.777777778,4.625
14,10,15825,4,221550,4.395833333,3.165,44.31,1.847222222,2.777777778,4.625
15,10,15300,4,229500,4.25,3.06,45.9,1.847222222,2.777777778,4.625
16,10,14918,4,238688,4.143888889,2.9836,47.7376,1.847222222,2.777777778,4.625
17,10,14463,4,245871,4.0175,2.8926,49.1742,1.847222222,2.777777778,4.625
18,10,14379,4,258822,3.994166667,2.8758,51.7644,1.847222222,2.777777778,4.625
19,10,13584,4,258096,3.773333333,2.7168,51.6192,1.847222222,2.777777778,4.625
20,10,13229,4,264580,3.674722222,2.6458,52.916,1.847222222,2.777777778,4.625
1,10,107432,2,107432,29.84222222,21.4864,21.4864,1.847222222,2.777777778,4.625
2,10,55952,2,111904,15.54222222,11.1904,22.3808,1.847222222,2.777777778,4.625
10,10,16016,2,160160,4.448888889,3.2032,32.032,1.847222222,2.777777778,4.625
15,10,11738,2,176070,3.260555556,2.3476,35.214,1.847222222,2.777777778,4.625
20,10,9903,2,198060,2.750833333,1.9806,39.612,1.847222222,2.777777778,4.625
1,6,127712,4,127712,35.47555556,25.5424,25.5424,1.847222222,2.777777778,4.625
2,6,66694,4,133388,18.52611111,13.3388,26.6776,1.847222222,2.777777778,4.625
10,6,20341,4,203410,5.650277778,4.0682,40.682,1.847222222,2.777777778,4.625
15,6,15506,4,232590,4.307222222,3.1012,46.518,1.847222222,2.777777778,4.625
